date,index,value
03-01-2022,17812.69922,74.4673
10-01-2022,18255.75,73.972298
17-01-2022,17617.15039,74.452202
24-01-2022,17101.94922,74.994301
31-01-2022,17516.30078,74.643898
07-02-2022,17374.75,75.579597
14-02-2022,17276.30078,75.063004
21-02-2022,16658.40039,75.068001
28-02-2022,16245.34961,76.417999
07-03-2022,16630.44922,76.310303
14-03-2022,17287.05078,75.981598
21-03-2022,17153,76.276001
28-03-2022,17670.44922,75.919098
04-04-2022,17784.34961,75.9132
11-04-2022,17475.65039,76.3088
18-04-2022,17171.94922,76.441704
25-04-2022,17102.55078,76.588997
02-05-2022,16411.25,76.541801
09-05-2022,15782.15039,77.443802
16-05-2022,16266.15039,77.421097
23-05-2022,16352.4502,77.630203
30-05-2022,16584.30078,77.643898
06-06-2022,16201.79981,78.148804
13-06-2022,15293.5,77.961403
20-06-2022,15699.25,78.142403
27-06-2022,15752.04981,78.962997
04-07-2022,16220.59961,79.332397
11-07-2022,16049.2002,79.685204
18-07-2022,16719.44922,79.876503
25-07-2022,17158.25,79.571503
01-08-2022,17397.5,79.591003
08-08-2022,17698.15039,79.613998
15-08-2022,17758.44922,79.886597
22-08-2022,17558.90039,79.956299
29-08-2022,17539.44922,79.716797
05-09-2022,17833.34961,79.648003
12-09-2022,17530.84961,79.653198
19-09-2022,17327.34961,81.219498
26-09-2022,17094.34961,81.480598
03-10-2022,17314.65039,82.7836
10-10-2022,17185.69922,82.192101
17-10-2022,17576.30078,82.513496
24-10-2022,17786.80078,82.442497
31-10-2022,18117.15039,81.974998
07-11-2022,18349.69922,80.547897
14-11-2022,18307.65039,81.500198
21-11-2022,18512.75,81.5979
28-11-2022,18696.09961,81.43
05-12-2022,18496.59961,82.434601
12-12-2022,18269,82.681801
19-12-2022,17806.80078,82.604103
26-12-2022,18105.30078,82.739502
02-01-2023,17859.44922,82.270599
09-01-2023,17956.59961,81.284798
16-01-2023,18027.65039,80.975998
23-01-2023,17604.34961,81.514297
30-01-2023,17854.05078,82.491096
06-02-2023,17856.5,82.494698
13-02-2023,17944.19922,82.814903
20-02-2023,17465.80078,82.932999
27-02-2023,17594.34961,81.712502
06-03-2023,17412.90039,82.018303
13-03-2023,17100.05078,82.532402
20-03-2023,16945.05078,82.347198
27-03-2023,17359.75,82.100502
03-04-2023,17599.15039,81.875
10-04-2023,17828,81.846001
17-04-2023,17624.05078,82.1409
24-04-2023,18065,81.745399
01-05-2023,18069,81.716103
08-05-2023,18314.80078,82.248299
15-05-2023,18203.40039,82.835297
22-05-2023,18499.34961,82.742104
29-05-2023,18534.09961,82.400002
05-06-2023,18563.40039,82.438004
12-06-2023,18826,81.911301
19-06-2023,18665.5,81.952797
26-06-2023,19189.05078,82.096001
03-07-2023,19331.80078,82.608002
10-07-2023,19564.5,82.101196
17-07-2023,19745,81.983002
24-07-2023,19646.05078,82.374901
31-07-2023,19517,82.784302
07-08-2023,19428.30078,82.799896
14-08-2023,19310.15039,83.098297
21-08-2023,19265.80078,82.641403
28-08-2023,19435.30078,82.682404
04-09-2023,19819.94922,83.241501
11-09-2023,20192.34961,83.028297
18-09-2023,19674.25,82.891296
25-09-2023,19638.30078,83.175301
02-10-2023,19653.5,83.101601
09-10-2023,19751.05078,83.262398
16-10-2023,19542.65039,83.122299
23-10-2023,19047.25,83.282501
30-10-2023,19230.59961,83.247299
06-11-2023,19411.75,83.158501
